16A0065750,2024-04-20 06:00:00,Pass,vcu1
16A0065656,2024-04-20 06:02:00,Fail,vcu1
16A0065748,2024-04-20 06:04:00,Pass,vcu1
16A0065753,2024-04-20 06:05:00,Pass,vcu1
16A0065747,2024-04-20 06:07:00,Pass,vcu1
16A0065521,2024-04-20 06:09:00,Pass,vcu1
16A0065743,2024-04-20 06:10:00,Pass,vcu1
16A0065759,2024-04-20 06:12:00,Pass,vcu1
16A0065886,2024-04-20 06:13:00,Pass,vcu1
16A0065888,2024-04-20 06:15:00,Pass,vcu1
16A0065882,2024-04-20 06:16:00,Pass,vcu1
16A0065764,2024-04-20 06:18:00,Pass,vcu1
16A0065761,2024-04-20 06:19:00,Pass,vcu1
16A0065758,2024-04-20 06:21:00,Pass,vcu1
16A0065884,2024-04-20 06:23:00,Pass,vcu1
16A0065379,2024-04-20 06:24:00,Pass,vcu1
16A0065377,2024-04-20 06:26:00,Pass,vcu1
16A0065820,2024-04-20 06:27:00,Pass,vcu1
16A0065817,2024-04-20 06:29:00,Pass,vcu1
16A0065816,2024-04-20 06:30:00,Pass,vcu1
16A0065895,2024-04-20 06:32:00,Pass,vcu1
16A0065893,2024-04-20 06:33:00,Pass,vcu1
16A0065660,2024-04-20 06:35:00,Pass,vcu1
16A0065590,2024-04-20 06:37:00,Pass,vcu1
16A0065441,2024-04-20 06:38:00,Pass,vcu1
16A0065440,2024-04-20 06:40:00,Pass,vcu1
16A0065444,2024-04-20 06:41:00,Pass,vcu1
16A0065404,2024-04-20 06:43:00,Pass,vcu1
16A0065765,2024-04-20 06:44:00,Pass,vcu1
16A0065766,2024-04-20 06:46:00,Pass,vcu1
16A0065767,2024-04-20 06:47:00,Pass,vcu1
16A0065879,2024-04-20 06:49:00,Pass,vcu1
16A0065762,2024-04-20 06:51:00,Pass,vcu1
16A0065411,2024-04-20 06:52:00,Pass,vcu1
16A0065166,2024-04-20 06:54:00,Pass,vcu1
16A0065171,2024-04-20 06:55:00,Pass,vcu1
16A0065827,2024-04-20 06:57:00,Pass,vcu1
16A0065825,2024-04-20 06:58:00,Pass,vcu1
16A0065823,2024-04-20 07:00:00,Pass,vcu1
